dolphin_id,dolphin_id,,dolphin_id_old_key,dolphin_id,dryad_id
199,EDG,,304,IBX,D1187
363,KRO,,188,DRL,D1188
511,PON,,290,HMM,D1189
306,IMP,,732,YOB,D1190
596,SKI,,164,DAN,D1191
79,BOL,,399,MED,D1192
179,DNG,,565,ROU,D1193
109,CEB,,351,KER,D1194
170,DEE,,544,RAS,D1195
407,MID,,618,SPF,D1196
285,HIB,,272,GTL,D1197
143,CRC,,495,PIK,D1198
704,WED,,686,VEE,D1199
595,SKF,,725,WOW,D1200
371,LAU,,449,NEN,D1201
620,SPO,,474,ORB,D1202
268,GRG,,183,DOM,D1203
419,MOG,,217,FCN,D1204
537,QUA,,414,MNK,D1205
215,FAT,,94,BUL,D1206
677,URC,,187,DRI,D1207
487,PEG,,235,FRN,D1208
577,SBO,,406,MGL,D1209
288,HKI,,467,OCT,D1210
494,PIC,,355,KLA,D1211
215,FAT,,264,GRA,D1212
454,NIC,,226,FNT,D1213
136,COO,,438,MUS,D1214
487,PEG,,12,AMA,D1215
341,JSE,,685,VEC,D1216
595,SKF,,589,SHL,D1217
531,PUC,,367,KYD,D1218
109,CEB,,669,TUN,D1219
677,URC,,552,REP,D1220
671,TWO,,543,RAP,D1221
622,SQU,,510,POL,D1222
215,FAT,,88,BSS,D1223
737,ZIP,,55,BIF,D1224
487,PEG,,382,LIT,D1225
223,FLI,,90,BTS,D1226
531,PUC,,445,NAP,D1227
587,SHC,,680,UVE,D1228
136,COO,,243,GAB,D1229
341,JSE,,191,DUC,D1230
577,SBO,,127,CLV,D1231
288,HKI,,29,ASH,D1232
671,TWO,,607,SME,D1233
390,LUC,,61,BLB,D1234
674,UHF,,160,CZA,D1235
109,CEB,,265,GRB,D1236
737,ZIP,,96,BUS,D1237
537,QUA,,597,SKR,D1238
630,SUR,,668,TUL,D1239
609,SMO,,323,JEL,D1240
368,LAN,,635,TAF,D1241
494,PIC,,266,GRC,D1242
317,JAS,,330,JLT,D1243
59,BJA,,572,SAS,D1244
454,NIC,,655,TOL,D1245
173,DID,,24,ARI,D1246
454,NIC,,604,SLT,D1247
531,PUC,,119,CHT,D1248
494,PIC,,628,SUM,D1249
595,SKF,,523,PSI,D1250
704,WED,,698,WAM,D1251
324,JFR,,567,RSH,D1252
353,KIT,,325,JIG,D1253
171,DEM,,23,ARG,D1254
609,SMO,,60,BKR,D1255
368,LAN,,562,RMB,D1256
729,WYL,,122,CLA,D1257
587,SHC,,335,JNI,D1258
63,BLI,,130,COC,D1259
737,ZIP,,280,HBB,D1260
409,MIN,,606,SMB,D1261
59,BJA,,117,CHM,D1262
173,DID,,142,CRA,D1263
531,PUC,,713,WIF,D1264
324,JFR,,206,EQU,D1265
609,SMO,,579,SCH,D1266
368,LAN,,270,GRU,D1267
595,SKF,,36,BAK,D1268
287,HII,,471,OME,D1269
622,SQU,,239,FTP,D1270
215,FAT,,425,MRR,D1271
550,REA,,262,GOD,D1272
674,UHF,,697,WAC,D1273
509,POI,,681,VAM,D1274
338,JOY,,638,TAM,D1275
223,FLI,,599,SKW,D1276
202,EFT,,505,PLU,D1277
378,LIC,,716,WLL,D1278
481,PAS,,257,GIG,D1279
109,CEB,,298,HRS,D1280
136,COO,,185,DOZ,D1281
537,QUA,,395,MAR,D1282
487,PEG,,420,MOO,D1283
677,URC,,320,JBO,D1284
341,JSE,,263,GOO,D1285
281,HED,,422,MOZ,D1286
577,SBO,,213,FAL,D1287
288,HKI,,32,ATH,D1288
512,POO,,513,POS,D1289
484,PCT,,315,JAK,D1290
284,HHD,,603,SLO,D1291
671,TWO,,64,BLK,D1292
390,LUC,,236,FRO,D1293
526,PSU,,333,JMY,D1294
738,ZOE,,67,BLO,D1295
630,SUR,,441,MYB,D1296
587,SHC,,82,BRA,D1297
454,NIC,,71,BMB,D1298
494,PIC,,129,CMO,D1299
324,JFR,,89,BTP,D1300
719,WNG,,316,JAL,D1301
674,UHF,,583,SCU,D1302
338,JOY,,311,JAA,D1303
